title,text
Guangdong censor closes 30 entertainment news accounts as crackdown continues,Guangdong's online censor has shut down 30 celebrity gossip social media accounts as authorities continue a crackdown on entertainment content.
Journalist jailed in media crackdown,"A media crackdown by Iranian hard-liners intensified yesterday, with five liberal publications shut down and a prominent journalist thrown in jail."
Media Watchdog Lambasts Yemen Press Crackdown,"The government of President President Ali Abdullah Saleh decided in May to close eight newspapers it accused of inciting separatism in southern Yemen, where 16 people have been killed in clashes since late April, including five members of the security forces."
Myanmar orders internet shutdown in conflict-torn Rakhine state: telco operator,"YANGON (Reuters) - Myanmar authorities ordered telecoms companies to shut down internet services in conflict-torn western Myanmar, a leading operator said on Saturday, amid heightening tensions in the region, where government troops are fighting ethnic rebels."
"Two news websites inaccessible in Algeria amid protests, social media shutdowns","New York, June 17, 2019 -- Independent news websites Tout Sur l'Algérie and Algérie Part have been widely inaccessible within Algeria since June 12, according to local journalists and news reports. The apparently targeted disruption took place amid anti-government protests that have been ongoing for nearly four months, and began shortly before several social media services were blocked in a shutdown that local news reports said coincided with high school exams on June 16."
"Raids, media shutdowns and internet disruptions amid Venezuela crisis","Venezuelan authorities on January 23 raided at least three newsrooms in southern Venezuela, took at least one television outlet off air, detained two reporters, confiscated reporting equipment, and forced members of the press to delete their material, according to local journalists and local press freedom organizations. Access to the internet was also disrupted, according to internet freedom and governance organization NetBlocks."
Gabon shuts down the internet and broadcasting services following coup attempt,"Abidjan, January 7, 2019--Gabon's government on Monday morning shut down the internet and broadcasting services following an attempted coup against President Ali Bongo, according to digital rights groups Netblocks, and Internet Without Borders, news reports, and local journalists and civil society organizations with whom the Committee to Protect Journalists spoke."
"Israel shutters Palestinian youth media office in East Jerusalem, citing terrorism","Israeli internal security forces and police on April 18 taped a Defense Ministry order on the door that declared Elia a terrorist organization and ordered its immediate closure until further notice; the front door was closed with red and white caution tape, according to news reports and the local press freedom group Palestinian Center for Development and Media Freedoms (MADA)."
Somaliland bans operations of privately owned newspaper,"The attorney general's office in Somaliland on June 13 filed an application asking for the newspaper to be suspended, claiming that Hassan Omar Hassan was not the rightfully registered owner of the newspaper, Yahye and Hassan told CPJ. Hassan said he was not informed of the application, nor did he attend a hearing on the case. The June 19 court order, issued following the attorney general's application, also directed printers in Somaliland not to publish the newspaper, Hassan told CPJ. The newspaper does not have a website, he said."
"Somaliland arrests journalists, bans TV stations","On May 29, Somaliland's information ministry banned SBS TV and another privately owned station, SOMNews, from operating in Somaliland, according to Guleid, Yahye, and a government statement. The Ministry of Information accused the stations of inaccurate reporting and carrying out a ""propaganda war"" against Somaliland, according to the government statement and a statement by the Human Rights Centre."
