Column1,title,text
0,"Pentagon preparing to send 34,000 troops to Afghanistan, official says","Washington (CNN) -- The Pentagon is making detailed plans to send about 34,000 more U.S. troops to Afghanistan in anticipation of President Obama's decision on the future of the eight-year-old war, a defense official said Tuesday."
0,Saudi Arabia Ready to Send Troops to Syria to Fight ISIS,A Saudi military spokesman said Thursday the kingdom is ready to send ground troops to Syria to fight ISIS — an offer welcomed by Defense Secretary Ash Carter.
0,Armenia To Send Troops To Afghanistan,"YEREVAN -- A senior NATO official says Armenia will soon send a small contingent of troops to Afghanistan to assist the United States and its NATO allies against the Taliban insurgency, RFE/RL's Armenian Service reports."
0,"African Union agrees to send 7,500 troops to fight Boko Haram in Nigeria","DDIS ABABA, Ethiopia — African leaders have agreed to send 7,500 troops to fight the Boko Haram insurgency in northeast Nigeria, an African Union official said Saturday."
0,U.N. to Send 120 Peacekeepers Home From CAR Amid Fresh Sex Abuse Allegations,The United Nations (U.N.) is sending 120 peacekeepers home from its mission in the Central African Republic (CAR) after more allegations of sexual abuse of minors emerged on Thursday.
0,United Nations draws up plans to send peacekeepers to Burundi,"Ban Ki-moon, UN secretary-general, said on Monday he was prepared to send peacekeepers to Burundi to quell the violence but only if other options failed."
0,Rwanda to send all-woman peacekeeping force to South Sudan,"KIGALI, June 27 (Xinhua) -- Rwanda is set to send an all-female formed police unit for deployment in South Sudan under the UN peacekeeping mission, the Rwandan police said Tuesday."
0,UN peacekeeping in Mali boosted with addition of 250 UK troops,"The United Kingdom is to send a contingent of 250 troops to Mali next year, to support the UN’s peacekeeping operation in the country, MINUSMA."
0,China to send 700 combat troops to South Sudan,China is to send 700 combat troops to South Sudan in what analysts describe as a significant shift from its stated policy of non-interference in African conflicts.
0,"Egypt to send more than 1,325 peacekeepers to Congo","CAIRO (Reuters) - Egypt plans to send more than 1,325 troops to eastern Congo to join a U.N. peacekeeping force tasked with protecting civilians there, the Egyptian foreign ministry said on Tuesday."
0,US to deploy troops to Saudi Arabia,"Jeddah: Saudi Arabia's King Salman Bin Abdul Aziz Al Saud approved the deployment of US troops to the Kingdom to boost regional security and stability, the Saudi Press Agency reported on Friday."
0,S. Africa to deploy troops in Cape Town to quell gang violence,"CAPE TOWN, July 11 (Xinhua) -- South African troops will be deployed in Cape Town to help quell rising gang violence, Police Minister Bheki Cele announced on Thursday."
0,Australia to deploy 270 troops to Middle East Region,The Australian Department of Defence has announced that more than 270 troops will deploy to the Middle East as part of the country’s contribution to boosting security in the region.
0,Kashmir on edge after late night troop deployment,"In a sudden move, the Union home ministry late on Friday deployed 10,000 paramilitary personnel in Jammu and Kashmir, leaving the valley guessing and on edge."
0,"UPDATED: France to deploy 89,000 police officers to maintain order on Saturday","Police authorities are preparing to deploy around 8,000 officers in Paris on Saturday and some 89,000 across France in an attempt to prevent a repeat of last weekend's 'unprecedented violence' on the streets of the French capital. Twelve armored vehicles will also be ready to be used in Paris."
