title,text
German troops help prepare Malian army for combat in the north,It is a bumpy 60 kilometers (37 miles) from the Malian capital Bamako to Koulikoro as the heavy trucks and other vehicles from the EU training mission have left a fair share of potholes behind them since the mission started in April 2013. 
Boko Haram 'commander' declares ceasefire,"A purported commander of Boko Haram, the armed Nigerian group, has declared a unilateral ceasefire with the government. "
Somalia offers al-Shabab amnesty,"Somalia's government has offered an open amnesty to al-Shabab fighters after the rebels made a surprise withdrawal from the capital, Mogadishu, over the weekend. "
U.S. to assist Nigeria with $102m,The U.S. Government has announced 102 milliondollars (about 3.7 billion naira) in additional humanitarian assistance for Nigeria to address the sufferings of people affected by the Boko Haram insurgency. 
Malian rebels and Islamic fighters merge,The two groups that seized control of Mali's north have announced that they have agreed to merge and create an independent Islamic state in the northern half of the west African nation. 
Nigeria president meets unions over strikes,"Nigerian unions are meeting with President Goodluck Jonathan to try to defuse a dispute over the removal of fuel subsidies that has paralysed the economy and raised fears of a shutdown of its oil industry, officials have said. "
"Left-wing Syriza wins Greek election, will form coalition government with right-wing party",A jubilant Alexis Tsipras vowed to continue fighting for his country's pride and to quickly form a coalition government after his left-wing Syriza party comfortably won Greece's third national vote this year on Sunday.
Ukraine Opposition to Form Coalition,Ukraine's opposition party said Friday it intends to form a majority coalition in parliament next week and oust losing presidential candidate Yulia Tymoshenko from the prime minister's job.
Kenya's rivals to form coalition government,"Kenya's rivals said yesterday a coalition government would be formed this weekend with the naming of a power-sharing cabinet, ending a deadlock that has threatened the country's economic recovery."
S Korean leaders agree to co-operate,"In a rare show of conciliation, Kim Dae-jung, the South Korean president, and Lee Hoi-chang, the main opposition leader, yesterday agreed to co-operate on national issues, including the forthcoming summit with North Korea."
Iraqi and Turkish leaders agree to cooperate against Kurdish rebels,The prime ministers of Iraq and Turkey have agreed to step up cooperation in the fight against Kurdish separatists in Northern Iraq.
UNAMID chief and rebel SLM leader agree to cooperate in Darfur,"March 20, 2010 (PARIS) -- The UNAMID chief Ibrahim Gambari and the leader of the rebel Sudan Liberation Movement (SLM) Abdel Wahid Al-Nur agreed to cooperate together to enhance the humanitarian situation and the protection of the civilians in Darfur."
"Lee, Obama agree to cooperate closely over NK leader's death","Korean President Lee Myung-bak and U.S. President Barack Obama agreed Monday to work closely together to cope with the aftermath of the death of North Korean leader Kim Jong-il, an official said."
"Russia begins its largest ever military exercise with 300,000 soldiers","Russia has launched what it has called its largest ever military drills, with hundreds of thousands of troops joining Chinese soldiers in a show of force condemned by Nato as a rehearsal for large-scale conflict."
"China, Russia begin joint exercises in South China Sea","(CNN)Chinese and Russian naval forces began joint exercises in the South China Sea on Monday, adding a new twist to ongoing tensions over Chinese island-building in the region."
"U.S., South Korea kick off annual joint military exercises after month-long delay",SEOUL (Reuters) - South Korea and the United States kicked off their annual joint military exercises on Sunday after they were delayed by about a month for the Winter Olympics and to help create conditions for a resumption of talks between North and South Korea.
China and Iran carry out naval exercise near Strait of Hormuz as US holds drill with Qatar,China and Iran have conducted a joint naval exercise near the ­strategic Strait of Hormuz in the Persian Gulf amid rising tensions in the region.
