title,text
"Thailand’s Military Stages Coup, Thwarting Populist Movement",BANGKOK — The Thai military seized control of the country on Thursday and detained at least 25 leading politicians in a culmination of months of maneuvering by the Bangkok establishment to sideline a populist movement that has won every national election since 2001.
Thailand army chief confirms military coup and suspends constitution,Thailand's military has seized control of the country and suspended the constitution after rival factions failed in negotiations to end six months of political turmoil – resulting in the nation's 19th coup in 82 years.
Libya coup attempt as Tripoli militias seek to topple UN-backed government,"Tripoli militias have staged an attempted coup against Libya’s United Nations-backed government, seizing key state buildings and a TV station and pledging they are ready to fight to take power."
Niger coup plot foiled - President Mahamadou Issoufou,Niger's President Mahamadou Issoufou has said his government has foiled a plot to overthrow him.
Sudan's Omar al-Bashir forced out in coup,Sudanese strongman Omar al-Bashir has been forced out of power in a military coup.
Burundi President Nkurunziza faces attempted coup,"A coup attempt has been launched in Burundi to try to overthrow President Pierre Nkurunziza, amid unrest over his bid to be re-elected to a third term."
Attempted Coup Leaves Ethiopia’s Army Chief and 3 Senior Officials Dead,"ADDIS ABABA — The chief of staff of the Ethiopian Army and at least three other senior officials were killed in different parts of the country when a general tried to seize control of the northern state of Amhara in an attempted coup, the prime minister’s office said on Sunday."
Soldiers Overthrow Mali Government in Setback for Democracy in Africa,"DAKAR, Senegal — Soldiers in Mali, a West African nation often cited as a democratic model, overthrew the elected government on Thursday, looted the presidential palace, arrested ministers and declared that they had seized power."
President Says a Coup Failed in South Sudan,"KHARTOUM, Sudan — Soldiers loyal to the former vice president of South Sudan tried to overthrow the government, President Salva Kiir said Monday, continuing the political tension that has hung over the fledgling country for months."
Gabon thwarts military coup attempt in President's absence,"LIBREVILLE (Reuters) - Gabon foiled an attempted military coup on Monday, killing two suspected plotters and capturing seven others just hours after they took over state radio in a bid to end 50 years of rule by President Ali Bongo’s family."
Military coup ousts Niger president Mamadou Tandja,"A coup has taken place in Niger and the president has been captured after a gun battle in the capital, Niamey."
Sudan's ruling military council says coup attempt foiled,Sudan's ruling military council (TMC) says it has foiled an attempted military coup and at least 16 officers have been arrested.
Honduran President Is Ousted in Coup,"MEXICO CITY — President Manuel Zelaya of Honduras was ousted by the army on Sunday, capping months of tensions over his efforts to lift presidential term limits."
Military Coup Succeeds Easily in Guinea,"NAIROBI, Kenya — By Thursday afternoon, the coup attempt in Guinea seemed to have simply become a coup."
Troops stage coup in Mauritania,Troops in Mauritania have overthrown the country's first freely-elected leader and say they have formed a state council to rule the country.
Togo army backs president after foiled coup plot,"LOME, April 21 (Reuters) - Togo’s army has reaffirmed its loyalty to President Faure Gnassingbe after his brother, a former defence minister, was arrested over a foiled coup plot last week, state radio reported on Tuesday."
